"","strFrom","strTo","freq"
"1","1on1","1on1",2
"2","1on1","Cut",4
"3","1on1","Dime in",7
"4","1on1","field_goal",41
"5","1on1","foul",17
"6","1on1","Hdoff",1
"7","1on1","None",0
"8","1on1","Pick",1
"9","1on1","Post",4
"10","1on1","Scr.E.Pk",1
"11","1on1","Screen",0
"12","1on1","Spotup",12
"13","1on1","Stg.Scr",0
"14","1on1","turnover",5
"15","Cut","1on1",6
"16","Cut","Cut",1
"17","Cut","Dime in",0
"18","Cut","field_goal",11
"19","Cut","foul",4
"20","Cut","Hdoff",1
"21","Cut","None",0
"22","Cut","Pick",1
"23","Cut","Post",1
"24","Cut","Screen",1
"25","Cut","Seq.Scr.Mk",1
"26","Cut","Spotup",2
"27","Cut","turnover",3
"28","Dime in","1on1",0
"29","Dime in","Cut",0
"30","Dime in","Dime in",2
"31","Dime in","field_goal",18
"32","Dime in","foul",3
"33","Dime in","Pick",2
"34","Dime in","Spotup",0
"35","Dime in","turnover",4
"36","Hdff_E_Re-Pick","turnover",0
"37","Hdof F Post","field_goal",0
"38","Hdof F Post","turnover",0
"39","Hdof_Scr.Rc","1on1",2
"40","Hdof_Scr.Rc","Cut",0
"41","Hdof_Scr.Rc","Dime in",0
"42","Hdof_Scr.Rc","field_goal",2
"43","Hdof_Scr.Rc","foul",2
"44","Hdof_Scr.Rc","Hdof.E.Scr",1
"45","Hdof_Scr.Rc","Hdoff",0
"46","Hdof_Scr.Rc","Hdoff.E.Re-Pick",0
"47","Hdof_Scr.Rc","Pick",1
"48","Hdof_Scr.Rc","Pk_Hdof.Rc",2
"49","Hdof_Scr.Rc","Pk_Scr.Rc",0
"50","Hdof_Scr.Rc","Post",0
"51","Hdof_Scr.Rc","Rc.Hdof.E.Mk.One",1
"52","Hdof_Scr.Rc","Re-Pick",0
"53","Hdof_Scr.Rc","Screen",2
"54","Hdof_Scr.Rc","Spotup",5
"55","Hdof_Scr.Rc","turnover",0
"56","Hdof_Scrner","1on1",0
"57","Hdof_Scrner","Dime in",0
"58","Hdof_Scrner","field_goal",0
"59","Hdof_Scrner","foul",0
"60","Hdof_Scrner","Pick",0
"61","Hdof_Scrner","Pk_Hdof.Rc",1
"62","Hdof_Scrner","Screen",0
"63","Hdof_Scrner","turnover",0
"64","Hdof.E.Scr","1on1",0
"65","Hdof.E.Scr","Post",1
"66","Hdof.E.Scr","Scr.E.Pk_SamePl",0
"67","Hdof.E.Scr","Spotup",0
"68","Hdof/Post","1on1",1
"69","Hdof/Post","Dime in",0
"70","Hdof/Post","field_goal",0
"71","Hdof/Post","foul",0
"72","Hdof/Post","Pick",0
"73","Hdof/Post","Post",0
"74","Hdof/Post","Spotup",0
"75","Hdoff","1on1",3
"76","Hdoff","Cut",3
"77","Hdoff","Dime in",1
"78","Hdoff","field_goal",20
"79","Hdoff","foul",2
"80","Hdoff","Hdff_E_Re-Pick",0
"81","Hdoff","Hdof_Scr.Rc",0
"82","Hdoff","Hdof.E.Scr",0
"83","Hdoff","Hdoff",3
"84","Hdoff","Hdoff.E.Re-Pick",3
"85","Hdoff","Pick",14
"86","Hdoff","Pk_Hdof.Rc",3
"87","Hdoff","Post",2
"88","Hdoff","Rc.Hdof.E.Mk.One",2
"89","Hdoff","Rc.Scr.E.MkOne",0
"90","Hdoff","Re-Pick",0
"91","Hdoff","Scr_Hdof.Mk",5
"92","Hdoff","Scr.E.Pk",0
"93","Hdoff","Screen",8
"94","Hdoff","Spotup",8
"95","Hdoff","Stg.Pk",0
"96","Hdoff","turnover",1
"97","Hdoff.E.Re-Pick","1on1",1
"98","Hdoff.E.Re-Pick","Cut",1
