"","strFrom","strTo","freq"
"1","1on1","1on1",4
"2","1on1","Cut",1
"3","1on1","Dime in",2
"4","1on1","field_goal",74
"5","1on1","foul",17
"6","1on1","Hdoff",1
"7","1on1","None",0
"8","1on1","Pick",4
"9","1on1","Post",0
"10","1on1","Scr.E.Pk",0
"11","1on1","Screen",3
"12","1on1","Spotup",21
"13","1on1","Stg.Scr",0
"14","1on1","turnover",9
"15","Cut","1on1",0
"16","Cut","Cut",0
"17","Cut","Dime in",0
"18","Cut","field_goal",6
"19","Cut","foul",0
"20","Cut","Hdoff",0
"21","Cut","None",0
"22","Cut","Pick",1
"23","Cut","Post",0
"24","Cut","Screen",0
"25","Cut","Seq.Scr.Mk",0
"26","Cut","Spotup",0
"27","Cut","turnover",3
"28","Dime in","1on1",0
"29","Dime in","Cut",0
"30","Dime in","Dime in",1
"31","Dime in","field_goal",8
"32","Dime in","foul",4
"33","Dime in","Pick",1
"34","Dime in","Spotup",1
"35","Dime in","turnover",2
"36","Hdff_E_Re-Pick","turnover",0
"37","Hdof F Post","field_goal",0
"38","Hdof F Post","turnover",0
"39","Hdof_Scr.Rc","1on1",0
"40","Hdof_Scr.Rc","Cut",0
"41","Hdof_Scr.Rc","Dime in",0
"42","Hdof_Scr.Rc","field_goal",0
"43","Hdof_Scr.Rc","foul",1
"44","Hdof_Scr.Rc","Hdof.E.Scr",0
"45","Hdof_Scr.Rc","Hdoff",0
"46","Hdof_Scr.Rc","Hdoff.E.Re-Pick",0
"47","Hdof_Scr.Rc","Pick",0
"48","Hdof_Scr.Rc","Pk_Hdof.Rc",0
"49","Hdof_Scr.Rc","Pk_Scr.Rc",0
"50","Hdof_Scr.Rc","Post",0
"51","Hdof_Scr.Rc","Rc.Hdof.E.Mk.One",0
"52","Hdof_Scr.Rc","Re-Pick",0
"53","Hdof_Scr.Rc","Screen",0
"54","Hdof_Scr.Rc","Spotup",0
"55","Hdof_Scr.Rc","turnover",0
"56","Hdof_Scrner","1on1",0
"57","Hdof_Scrner","Dime in",0
"58","Hdof_Scrner","field_goal",0
"59","Hdof_Scrner","foul",1
"60","Hdof_Scrner","Pick",1
"61","Hdof_Scrner","Pk_Hdof.Rc",0
"62","Hdof_Scrner","Screen",1
"63","Hdof_Scrner","turnover",0
"64","Hdof.E.Scr","1on1",0
"65","Hdof.E.Scr","Post",0
"66","Hdof.E.Scr","Scr.E.Pk_SamePl",0
"67","Hdof.E.Scr","Spotup",1
"68","Hdof/Post","1on1",0
"69","Hdof/Post","Dime in",0
"70","Hdof/Post","field_goal",0
"71","Hdof/Post","foul",0
"72","Hdof/Post","Pick",0
"73","Hdof/Post","Post",0
"74","Hdof/Post","Spotup",0
"75","Hdoff","1on1",2
"76","Hdoff","Cut",0
"77","Hdoff","Dime in",1
"78","Hdoff","field_goal",8
"79","Hdoff","foul",2
"80","Hdoff","Hdff_E_Re-Pick",0
"81","Hdoff","Hdof_Scr.Rc",0
"82","Hdoff","Hdof.E.Scr",1
"83","Hdoff","Hdoff",1
"84","Hdoff","Hdoff.E.Re-Pick",3
"85","Hdoff","Pick",4
"86","Hdoff","Pk_Hdof.Rc",10
"87","Hdoff","Post",1
"88","Hdoff","Rc.Hdof.E.Mk.One",0
"89","Hdoff","Rc.Scr.E.MkOne",0
"90","Hdoff","Re-Pick",0
"91","Hdoff","Scr_Hdof.Mk",0
"92","Hdoff","Scr.E.Pk",1
"93","Hdoff","Screen",4
"94","Hdoff","Spotup",3
"95","Hdoff","Stg.Pk",0
"96","Hdoff","turnover",3
"97","Hdoff.E.Re-Pick","1on1",0
"98","Hdoff.E.Re-Pick","Cut",0
"99","Hdoff.E.Re-Pick","field_goal",1
"100","Hdoff.E.Re-Pick","foul",1
"101","Hdoff.E.Re-Pick","Pick",0
"102","Hdoff.E.Re-Pick","Post",0
"103","Hdoff.E.Re-Pick","Rc.Pk.E.Mk.Hdof",0
"104","Hdoff.E.Re-Pick","Re-Pick",1
"105","Hdoff.E.Re-Pick","turnover",0
"106","None","field_goal",0
"107","None","foul",3
"108","None","turnover",2
"109","Pick","1on1",35
"110","Pick","Cut",1
"111","Pick","Dime in",5
"112","Pick","field_goal",106
"113","Pick","foul",18
"114","Pick","Hdoff",11
"115","Pick","None",0
"116","Pick","Pick",36
"117","Pick","Pk.E.Scr",0
"118","Pick","Post",2
"119","Pick","Rc.Pk.E.Mk.Hdof",1
"120","Pick","Re-Pick",16
"121","Pick","Scr_Pker",0
"122","Pick","Scr.E.Pk",0
"123","Pick","Screen",6
"124","Pick","Spotup",48
"125","Pick","Stg.Pk",15
"126","Pick","Stg.Scr",1
"127","Pick","turnover",23
"128","Pick_Screener","Post",0
"129","Pk_Hdof.Rc","1on1",0
"130","Pk_Hdof.Rc","Cut",0
"131","Pk_Hdof.Rc","Dime in",0
"132","Pk_Hdof.Rc","field_goal",2
"133","Pk_Hdof.Rc","foul",0
"134","Pk_Hdof.Rc","Hdoff",0
"135","Pk_Hdof.Rc","Hdoff.E.Re-Pick",0
"136","Pk_Hdof.Rc","Pick",7
"137","Pk_Hdof.Rc","Post",0
"138","Pk_Hdof.Rc","Scr_Hdof.Mk",0
"139","Pk_Hdof.Rc","Screen",0
"140","Pk_Hdof.Rc","Spotup",1
"141","Pk_Hdof.Rc","Stg.Pk",0
"142","Pk_Hdof.Rc","turnover",0
"143","Pk_Scr.Rc","1on1",0
"144","Pk_Scr.Rc","Dime in",0
"145","Pk_Scr.Rc","field_goal",1
"146","Pk_Scr.Rc","foul",0
"147","Pk_Scr.Rc","None",0
"148","Pk_Scr.Rc","Pick",0
"149","Pk_Scr.Rc","Post",0
"150","Pk_Scr.Rc","Re-Pick",0
"151","Pk_Scr.Rc","Screen",0
"152","Pk_Scr.Rc","Spotup",0
"153","Pk_Scr.Rc","turnover",0
"154","Pk.E.Scr","1on1",0
"155","Pk.E.Scr","Dime in",0
"156","Pk.E.Scr","field_goal",1
"157","Pk.E.Scr","Hdoff",0
"158","Pk.E.Scr","Pick",0
"159","Pk.E.Scr","Rc.Scr.E.Pk",0
"160","Pk.E.Scr","Scr.E.Pk_SamePl",1
"161","Pk.E.Scr","Screen",0
"162","Pk.E.Scr","Seq.Scr.Mk",0
"163","Pk.E.Scr","Stg.Scr",1
"164","Pk.E.Scr","turnover",0
"165","Post","1on1",1
"166","Post","Cut",0
"167","Post","Dime in",0
"168","Post","field_goal",16
"169","Post","foul",4
"170","Post","Hdof F Post",0
"171","Post","Hdof/Post",0
"172","Post","Hdoff",0
"173","Post","Pick",1
"174","Post","Pk_Scr.Rc",0
"175","Post","Post",0
"176","Post","Screen",0
"177","Post","Spotup",5
"178","Post","Stg.Scr",0
"179","Post","turnover",1
"180","Rc.Hdof.E.Mk.One","1on1",0
"181","Rc.Hdof.E.Mk.One","field_goal",0
"182","Rc.Hdof.E.Mk.One","foul",0
"183","Rc.Hdof.E.Mk.One","Pk_Hdof.Rc",0
"184","Rc.Hdof.E.Mk.One","Post",0
"185","Rc.Hdof.E.Mk.One","Rc.Hdof.E.Mk.One",0
"186","Rc.Hdof.E.Mk.One","Spotup",0
"187","Rc.Hdof.E.Mk.One","turnover",0
"188","Rc.Pk.E.Mk.Hdof","field_goal",1
"189","Rc.Pk.E.Mk.Hdof","Hdoff",0
"190","Rc.Pk.E.Mk.Hdof","None",0
"191","Rc.Pk.E.Mk.Hdof","Pick",0
"192","Rc.Pk.E.Mk.Hdof","Pk_Hdof.Rc",0
"193","Rc.Pk.E.Mk.Hdof","Post",0
"194","Rc.Pk.E.Mk.Hdof","Rc.Hdof.E.Mk.One",0
"195","Rc.Scr.E.Mk.Hdof","field_goal",0
"196","Rc.Scr.E.Mk.Hdof","foul",0
"197","Rc.Scr.E.Mk.Hdof","None",0
"198","Rc.Scr.E.Mk.Hdof","Pick",0
"199","Rc.Scr.E.Mk.Hdof","Pk_Hdof.Rc",0
"200","Rc.Scr.E.Mk.Hdof","Pk_Scr.Rc",0
"201","Rc.Scr.E.Mk.Hdof","Stg.Scr",0
"202","Rc.Scr.E.Mk.Hdof","turnover",0
"203","Rc.Scr.E.MkOne","1on1",1
"204","Rc.Scr.E.MkOne","field_goal",0
"205","Rc.Scr.E.MkOne","foul",0
"206","Rc.Scr.E.MkOne","Hdoff",0
"207","Rc.Scr.E.MkOne","Pick",0
"208","Rc.Scr.E.MkOne","Pick_Screener",0
"209","Rc.Scr.E.MkOne","Post",0
"210","Rc.Scr.E.MkOne","Rc.Scr.E.MkOne",0
"211","Rc.Scr.E.MkOne","Scr_Scrner",2
"212","Rc.Scr.E.MkOne","Scr.E.Pk_SamePl",1
"213","Rc.Scr.E.MkOne","Screen",0
"214","Rc.Scr.E.MkOne","Stg.Scr",0
"215","Rc.Scr.E.Pk","1on1",4
"216","Rc.Scr.E.Pk","Cut",0
"217","Rc.Scr.E.Pk","Dime in",1
"218","Rc.Scr.E.Pk","field_goal",1
"219","Rc.Scr.E.Pk","foul",1
"220","Rc.Scr.E.Pk","Hdoff",0
"221","Rc.Scr.E.Pk","None",1
"222","Rc.Scr.E.Pk","Pick",1
"223","Rc.Scr.E.Pk","Pk.E.Scr",0
"224","Rc.Scr.E.Pk","Post",2
"225","Rc.Scr.E.Pk","Rc.Scr.E.MkOne",0
"226","Rc.Scr.E.Pk","Re-Pick",0
"227","Rc.Scr.E.Pk","Scr_Pker",0
"228","Rc.Scr.E.Pk","Scr_Scrner",0
"229","Rc.Scr.E.Pk","Scr.E.Pk",0
"230","Rc.Scr.E.Pk","Screen",0
"231","Rc.Scr.E.Pk","Spotup",4
"232","Rc.Scr.E.Pk","Stg.Pk",0
"233","Rc.Scr.E.Pk","turnover",3
"234","Re-Pick","1on1",2
"235","Re-Pick","Cut",0
"236","Re-Pick","Dime in",0
"237","Re-Pick","field_goal",9
"238","Re-Pick","foul",1
"239","Re-Pick","Hdoff",0
"240","Re-Pick","Pick",2
"241","Re-Pick","Pk.E.Scr",0
"242","Re-Pick","Post",0
"243","Re-Pick","Re-Pick",0
"244","Re-Pick","Screen",0
"245","Re-Pick","Spotup",4
"246","Re-Pick","Stg.Pk",0
"247","Re-Pick","turnover",1
"248","Re-Screen","1on1",0
"249","Re-Screen","field_goal",1
"250","Re-Screen","foul",0
"251","Re-Screen","Hdof_Scr.Rc",0
"252","Re-Screen","Hdoff",0
"253","Re-Screen","Pick",0
"254","Re-Screen","Post",0
"255","Re-Screen","Scr.E.Pk",1
"256","Re-Screen","Scr.E.Pk_SamePl",0
"257","Re-Screen","Spotup",0
"258","Re-Screen","Stg.Scr",0
"259","Re-Screen","turnover",0
"260","Scr_Hdof.Mk","Pick",0
"261","Scr_Hdof.Mk","Pk_Hdof.Rc",0
"262","Scr_Hdof.Mk","Screen",0
"263","Scr_Hdof.Mk","Stg.Scr",0
"264","Scr_Pker","1on1",0
"265","Scr_Pker","field_goal",0
"266","Scr_Pker","foul",0
"267","Scr_Pker","Hdof/Post",0
"268","Scr_Pker","Pick",0
"269","Scr_Pker","Post",0
"270","Scr_Pker","Rc.Scr.E.Mk.Hdof",0
"271","Scr_Pker","Rc.Scr.E.Pk",0
"272","Scr_Pker","Scr_Scrner",0
"273","Scr_Pker","Scr.E.Pk",0
"274","Scr_Pker","Screen",0
"275","Scr_Pker","Spotup",0
"276","Scr_Pker","Stg.Scr",0
"277","Scr_Scrner","1on1",4
"278","Scr_Scrner","Cut",1
"279","Scr_Scrner","Dime in",0
"280","Scr_Scrner","field_goal",4
"281","Scr_Scrner","foul",1
"282","Scr_Scrner","Hdoff",1
"283","Scr_Scrner","None",0
"284","Scr_Scrner","Pick",5
"285","Scr_Scrner","Post",0
"286","Scr_Scrner","Rc.Scr.E.MkOne",3
"287","Scr_Scrner","Rc.Scr.E.Pk",0
"288","Scr_Scrner","Scr_Scrner",0
"289","Scr_Scrner","Scr.E.Pk",0
"290","Scr_Scrner","Scr.E.Pk_SamePl",0
"291","Scr_Scrner","Screen",4
"292","Scr_Scrner","Seq.Scr.Mk",2
"293","Scr_Scrner","Spotup",0
"294","Scr_Scrner","Stg.Scr",0
"295","Scr_Scrner","turnover",2
"296","Scr.E.Hdof","Cut",0
"297","Scr.E.Hdof","field_goal",0
"298","Scr.E.Hdof","Screen",0
"299","Scr.E.Hdof","Spotup",0
"300","Scr.E.Pk","1on1",3
"301","Scr.E.Pk","Cut",0
"302","Scr.E.Pk","Dime in",0
"303","Scr.E.Pk","field_goal",2
"304","Scr.E.Pk","foul",2
"305","Scr.E.Pk","Hdof_Scr.Rc",0
"306","Scr.E.Pk","Hdoff",0
"307","Scr.E.Pk","Pick",0
"308","Scr.E.Pk","Post",0
