idPartida;cestinhaJogador1;cestinhaPontos1;cestinhaJogador2;cestinhaPontos2;cestinhaDestaque;assistenciaJogador1;assistencia1;assistenciaJogador2;assistencia;assistenciaDestaque;reboteJogador1;rebote1;reboteJogador2;rebote;reboteDestaque
2247;;;;;;;;;;;;;;;;
2430;;;;;;;;;;;;;;;;
2431;351;20;187;26;;137;4;214;6;;484;6;154;7;;
2432;;;;;;;;;;;;;;;;
2433;1232;23;64;22;;134;4;58;3;;134;5;299;14;;
2434;;;;;;;;;;;;;;;;
2435;598;19;146;23;;598;2;192;4;;482;9;478;7;;
2436;;;;;;;;;;;;;;;;
2437;;;;;;;;;;;;;;;;
2438;;;;;;;;;;;;;;;;
2439;;;;;;;;;;;;;;;;
2440;;;;;;;;;;;;;;;;
2441;;;;;;;;;;;;;;;;
2442;;;;;;;;;;;;;;;;
2443;;;;;;;;;;;;;;;;
2444;;;;;;;;;;;;;;;;
2445;424;27;107;24;;424;11;1021;5;;782;8;210;10;;
2446;105;20;1023;12;;30;5;1025;5;;159;8;1062;10;;
2447;;;;;;;;;;;;;;;;
2448;192;21;986;22;;478;10;621;4;;190;6;1223;4;;
2449;797;20;365;21;;797;3;152;2;;431;10;404;5;;
2450;598;26;1038;21;;853;3;153;5;;482;15;119;9;;
2451;;;;;;;;;;;;;;;;
2452;;;;;;;;;;;;;;;;
2453;425;24;241;19;;425;6;147;5;;394;8;203;10;;
2454;26;20;137;30;;423;7;137;6;;182;11;484;12;;
2455;;;;;;;;;;;;;;;;
2456;;;;;;;;;;;;;;;;
2457;;;;;;;;;;;;;;;;
2458;478;5;168;6;;478;2;152;2;;478;2;168;1;;
2459;152;16;268;13;;995;3;153;3;;404;14;119;10;;
2460;29;18;367;29;;29;4;483;4;;175;8;43;7;;
2461;1016;19;1047;27;;1017;5;797;2;;62;8;431;10;;
2462;1023;19;146;18;;1058;4;478;7;;51;8;973;7;;
2463;1021;26;78;21;;210;5;78;6;;484;7;481;9;;
