BRA X VENE;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
09'14'';50'25'';RECOVERY;3L;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;DRIVE;;;;;;;;;
;;;4L;PB;CROSS;;;;;;;;;
;;;4C;CB;SHOT ATTEMPT;GOAL;50'56'';;;;;;;
;;;;;;;;;;;;;;
14'18'';55'29'';GK SAVE;1C;CM;PASS;;;;;;;;;
;;;2C;CD;RECEPTION;;;;;;;;;
;;;2C;CD;PASS;;;;;;;;;
;;;2C;CD;RECEPTION;;;;;;;;;
;;;2C;CD;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;55'44'';;;;;;;
;;;;;;;;;;;;;;
22'30'';63'40'';RECOVERY;3C;CD;SHOT ATTEMPT;GK KICK;63'44'';;;;;;;
;;;;;;;;;;;;;;
36'43'';77'54'';RECOVERY;2C;CD;PASS;;;;;;;;;
;;;2L;PD;RECEPTION;;;;;;;;;
;;;2L;PD;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;GK SAVE;78'06'';;;;;;;
;;;;;;;;;;;;;;
39'20'';80'31'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;80'33'';;;;;;;
;;;;;;;;;;;;;;
39'24'';80'35'';RECOVERY;4R;CM;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;80'37'';;;;;;;
;;;;;;;;;;;;;;
48'31'';89'42'';INTERCEPTION;3C;CD;DRIVE;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK KICK;89'46'';;;;;;;
