ARG X CHI;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;3C;CM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;DISARM;79'05'';;;;;;;
;;;;;;;;;;;;;;
44'49'';84'43'';RECOVERY;3C;CM;PASS;;;;;;;;;
;;;4C;CB;RECEPTION;OFFSIDE;84'46'';;;;;;;
;;;;;;;;;;;;;;
48'19'';88'13'';FALL;3R;F;CROSS;GK SAVE;88'16'';;;;;;;
;;;;;;;;;;;;;;
51'35'';91'29'';RECOVERY;1C;F;PASS;;;;;;;;;
;;;1C;CM;PASS;;;;;;;;;
;;;2L;PD;PASS;;;;;;;;;
;;;2C;CD;RECEPTION;;;;;;;;;
;;;2C;CD;DRIVE;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;4L;PB;PASS;;;;;;;;;
;;;4C;PB;SHOT ATTEMPT;GK KICK;91'45'';;;;;;;
;;;;;;;;;;;;;;
FIRST OVERTIME;;;;;;;;;;;;;;
06'20'';96'18'';FREETHROW;2R;PM;PASS;;;;;;;;;
;;;2R;PD;PASS;;;;;;;;;
;;;3R;CD;RECEPTION;;;;;;;;;
;;;3R;CD;PASS;GK SAVE;96'26'';;;;;;;
;;;;;;;;;;;;;;
08'48'';98'46'';FALL;3L;F;CROSS;INTERCEPTION;98'48'';;;;;;;
;;;;;;;;;;;;;;
14'27'';104'23'';FALL;4L;F;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;CORNER;104'27'';;;;;;;
;;;;;;;;;;;;;;
14'52'';104'48'';CORNER;4L;PD;CROSS;GK SAVE;104'49'';;;;;;;
;;;;;;;;;;;;;;
SECOND OVERTIME;;;;;;;;;;;;;;
23'55'';110'58'';RECOVERY;4L;CD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;CROSS;DEFENSIVE FREETHROW;111'07'';;;;;;;
;;;;;;;;;;;;;;
27'19'';114'21'';RECOVERY;3L;CM;PASS;;;;;;;;;
;;;4L;CD;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;DRIVE;;;;;;;;;
;;;4C;CD;DRIVE;DISARM;114'26'';;;;;;;
;;;;;;;;;;;;;;
32'32'';119'35'';FALL;3C;F;CROSS;INCOMPLETE INTERCEPTION;119'38'';;;;;;;
;;;;;;;;;;;;;;
32'36'';119'39'';RECOVERY;4C;CM;SHOT ATTEMPT;BLOCK;119'40'';;;;;;;
;;;;;;;;;;;;;;
32'39'';119'42'';RECOVERY;3R;F;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;CD;SHOT ATTEMPT;GK KICK;119'52'';;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
