"","seq","freq"
"1","0",92
"2","00",85
"3","000",45
"4","0000",28
"5","00000",11
"6","000000",1
"7","11",18
"8","111",35
"9","1111",56
"10","11111",33
"11","111111",17
"12","1111111",6
"13","11111111",4
"14","111111111",2
