"","seq","freq"
"1","0",205
"2","00",201
"3","000",87
"4","0000",36
"5","00000",10
"6","000000",1
"7","0000000",1
"8","11",63
"9","111",97
"10","1111",84
"11","11111",58
"12","111111",19
"13","1111111",10
"14","11111111",4
