"","seq","freq"
"1","0",194
"2","00",134
"3","000",50
"4","0000",10
"5","00000",1
"6","000000",2
"7","0000000",1
"8","11",31
"9","111",46
"10","1111",31
"11","11111",11
"12","111111",4
