"","seq","freq"
"1","0",222
"2","00",218
"3","000",120
"4","0000",35
"5","00000",7
"6","000000",1
"7","11",44
"8","111",86
"9","1111",47
"10","11111",36
"11","111111",13
"12","1111111",6
"13","11111111",1
