"","seq","freq"
"1","0",138
"2","00",131
"3","000",75
"4","0000",17
"5","00000",3
"6","000000",1
"7","11",25
"8","111",49
"9","1111",28
"10","11111",18
"11","111111",8
"12","1111111",2
