"","seq","freq"
"1","0",156
"2","00",135
"3","000",84
"4","0000",44
"5","00000",16
"6","000000",1
"7","11",26
"8","111",62
"9","1111",74
"10","11111",45
"11","111111",21
"12","1111111",7
"13","11111111",4
"14","111111111",2
