"","seq","freq"
"1","0",108
"2","00",117
"3","000",57
"4","0000",24
"5","00000",9
"6","00000000",1
"7","11",30
"8","111",58
"9","1111",44
"10","11111",23
"11","111111",5
"12","1111111",1
"13","111111111",2
