"","seq","freq"
"1","0",201
"2","00",134
"3","000",70
"4","0000",33
"5","00000",5
"6","11",41
"7","111",54
"8","1111",49
"9","11111",24
"10","111111",15
"11","1111111",8
"12","11111111",1
