"","seq","freq"
"1","0",134
"2","00",84
"3","000",20
"4","0000",5
"5","00000",2
"6","000000",1
"7","11",28
"8","111",26
"9","1111",18
"10","11111",5
"11","111111",3
"12","1111111",1
"13","11111111",1
