"","seq","freq"
"1","0",361
"2","00",336
"3","000",171
"4","0000",80
"5","00000",26
"6","000000",2
"7","0000000",1
"8","11",89
"9","111",159
"10","1111",158
"11","11111",103
"12","111111",40
"13","1111111",17
"14","11111111",8
"15","111111111",2
