"","seq","freq"
"1","0",140
"2","00",75
"3","000",46
"4","0000",18
"5","00000",3
"6","11",23
"7","111",34
"8","1111",34
"9","11111",16
"10","111111",9
"11","1111111",5
"12","11111111",1
