"","SCD","points","freq","ppp"
"1","1on1",3,136,0.0220588235294118
"2","Cut",4,36,0.111111111111111
"8","Pick",12,203,0.0591133004926108
"9","Pk_Hdof.Rc",2,3,0.666666666666667
"11","Post",4,53,0.0754716981132075
"19","Screen",2,62,0.032258064516129
"21","Spotup",10,167,0.0598802395209581
"22","Stg.Pk",2,14,0.142857142857143
"23","Stg.Scr",2,30,0.0666666666666667
