"","SCD","points","freq","ppp"
"1","1on1",3,45,0.0666666666666667
"2","Cut",4,16,0.25
"8","Pick",12,86,0.13953488372093
"9","Pk_Hdof.Rc",2,2,1
"11","Post",4,27,0.148148148148148
"17","Screen",2,23,0.0869565217391304
"19","Spotup",10,64,0.15625
"20","Stg.Pk",2,8,0.25
"21","Stg.Scr",2,8,0.25
