"","SCD","points","freq","ppp"
"1","1on1",2,49,0.0408163265306122
"3","Dime in",2,14,0.142857142857143
"8","None",2,8,0.25
"9","Pick",12,80,0.15
"11","Pk_Scr.Rc",2,1,2
"13","Post",10,48,0.208333333333333
"16","Rc.Scr.E.Pk",2,2,1
"22","Screen",2,25,0.08
"24","Spotup",17,63,0.26984126984127
