"","SCD","points","freq","ppp"
"1","1on1",11,60,0.183333333333333
"2","Cut",4,21,0.19047619047619
"6","Hdoff",8,31,0.258064516129032
"7","Hdoff.E.Re-Pick",2,3,0.666666666666667
"9","Pick",18,116,0.155172413793103
"12","Post",8,63,0.126984126984127
"14","Rc.Scr.E.Pk",2,5,0.4
"15","Re-Pick",2,5,0.4
"19","Scr.E.Pk",7,13,0.538461538461538
"21","Screen",3,31,0.0967741935483871
"22","Seq.Scr.Mk",2,1,2
"23","Spotup",6,113,0.0530973451327434
