"","SCD","points","freq","ppp"
"1","1on1",3,263,0.0114068441064639
"2","Cut",4,55,0.0727272727272727
"8","Pick",12,330,0.0363636363636364
"9","Pk_Hdof.Rc",2,5,0.4
"11","Post",4,112,0.0357142857142857
"21","Screen",2,98,0.0204081632653061
"23","Spotup",10,323,0.0309597523219814
"24","Stg.Pk",2,24,0.0833333333333333
"25","Stg.Scr",2,49,0.0408163265306122
