"","SCD","points","freq","ppp"
"1","1on1",13,100,0.13
"3","Dime in",4,14,0.285714285714286
"9","Pick",12,147,0.0816326530612245
"13","Post",2,21,0.0952380952380952
"18","Scr_Scrner",3,7,0.428571428571429
"21","Screen",10,50,0.2
"23","Spotup",24,104,0.230769230769231
