"","SCD","points","freq","ppp"
"1","1on1",2,144,0.0138888888888889
"3","Dime in",2,39,0.0512820512820513
"9","None",2,17,0.117647058823529
"10","Pick",12,178,0.0674157303370786
"12","Pk_Scr.Rc",2,9,0.222222222222222
"14","Post",10,130,0.0769230769230769
"17","Rc.Scr.E.Pk",2,4,0.5
"23","Screen",2,59,0.0338983050847458
"25","Spotup",17,143,0.118881118881119
